Source: http://edgar.jrc.ec.europa.eu/overview.php?v=GHGts1990-2012&sort=des8,,,,,,,,
Country,1990,1995,2000,2005,2010,2010,2011,2012
,Gg CO2eq,Gg CO2eq,Gg CO2eq,Gg CO2eq,Gg CO2eq,% world total,Gg CO2eq,Gg CO2eq
,,,,,,,,
,,,,,,,,
World Total,38232170.06,39040328.23,40563437,47216058.67,50911113.68,100,53197386.48,53937187.68
,,,,,,,,
Afghanistan,12528.02,11635.66,13530.95,14770.26,17791.33,0.03,17981.31,18168.86
Albania,11112.73,6421.57,8389.28,8308.39,8507,0.02,8712.3,8898.64
Algeria,106445.82,123799.18,133778.2,146241.5,167674.63,0.33,172303.51,176471.23
American Samoa,20.38,22.88,47.66,52.8,56.64,0,57.74,58.77
Angola,50806.54,48230.3,34780.68,35855.74,40029.39,0.08,40878.65,41657.16
Anguilla,3.76,3.08,3.11,3.17,3.2,0,3.24,3.27
Antigua and Barbuda,372.29,391.94,398.69,454.07,521.05,0,537.81,552.75
Argentina,266555.03,275096.41,331450.87,358385.64,364684.25,0.72,372873.14,380295.32
Armenia,24729.92,6710.37,6867.71,8401.82,11393.04,0.02,12417.74,12319.39
Aruba,643,731.76,272.91,286.97,387.9,0,401.2,413.04
Australia,482298.26,489294.15,1081244.41,909262.03,782102.69,1.54,785795.15,761686.27
Austria,79836.96,82480.63,82686.75,97552.85,94172.35,0.18,92315.05,90460.21
Azerbaijan,78096.62,42526.79,42646.56,47617.17,50724.57,0.1,53982.83,56537.08
Bahamas,3593.57,3532.13,3185.22,3854.11,4570.36,0.01,4726.38,4865.21
Bahrain,17050.71,15330.07,18248.39,23432.38,30921.97,0.06,31941.04,32849.11
Bangladesh,126701.7,136508.33,136012.9,151091.7,177504.47,0.35,180498.43,183300.56
Barbados,1199.67,1099.56,1313.95,1310.42,1449.43,0,1497.65,1540.62
Belarus,185411.76,130352.35,83387.54,89989.72,108204.55,0.21,108921.43,109647.24
Belgium,137872.52,146712.33,147051.2,136696.04,138029.41,0.27,137517.87,133373.68
Belize,632.72,602.93,1676.47,2022.18,1498.88,0,1536.24,1569.86
Benin,47187.97,45322.67,40254.01,48572.51,33029.82,0.06,33289.55,33533.1
Bermuda,652.96,496.77,518.97,584.76,594.65,0,614.88,632.88
Bhutan,1280.14,1647.89,2309.76,1617.86,3220.4,0.01,3259.61,3296.96
Bolivia,192645.7,170371.97,91400.93,309458.39,102900.52,0.2,620981.96,621726.73
Bosnia and Herzegovina,31318.6,6576.49,22492.91,20780.36,25619.33,0.05,26405.84,27108.4
Botswana,13373.08,12153,39682.5,24188.46,81652.26,0.16,81891.04,82110.28
Brazil,1606209.33,1574445.63,1222630.43,2386439.68,2902242.62,5.7,2953040.52,2989417.96
Brunei Darussalam,18366.77,21264.68,9649.4,10968.96,14123.6,0.03,14494.49,14828.97
Bulgaria,108086.03,81769.92,66195.09,68542.77,67945.31,0.13,72946.62,67942.7
Burkina Faso,12151.01,14072.24,46470.1,47809.7,43405.91,0.09,43660.15,43910.4
Burundi,2798.94,2998.94,3398.87,5302.31,6040.98,0.01,6152,6254.37
Cambodia,19521.92,20790.18,42118.31,101252.49,126272.2,0.25,126838.76,127399.59
Cameroon,97554.79,90767.15,163101.04,160728,99823.28,0.2,100386.55,100922.14
Canada,608685,836025.63,760643,849798.74,764137.68,1.5,1033481.98,1027063.85
Cape Verde,208.24,252.28,333.36,362.76,395.34,0,403.67,411.33
Cayman Islands,297.4,332.31,306,346.48,422.03,0,436.23,448.88
Central African Republic,146226.24,133886.53,499622.06,455529.68,511442.69,1,513289.52,515134.08
Chad,18338.29,17935.69,129247.65,123870.95,109130.42,0.21,109463.64,109796.02
Chile,54730.28,66432.85,90384.58,101594.28,114285,0.22,117661.68,120687.89
China,3892675.16,5042349.12,5082325.6,7803535.6,11183810.6,21.97,12064260,12454710.61
Colombia,174396.94,179102.11,164520.42,150617.8,166695.87,0.33,170199.58,173411.77
Comoros,294.37,317.95,365.9,480.84,543.62,0,554.34,564.22
Congo,63552.84,57957.63,28435.4,38914.47,35247.16,0.07,35504.46,35743.92
Congo_the Democratic Republic of the,1376921.73,1232299.89,861822.71,794528.22,799228.67,1.57,800756.94,802271.3
Cook Islands,18.34,20.17,95.55,74.68,46.49,0,47.99,49.33
Costa Rica,8593.79,10054.85,9851.27,10095.24,11684.57,0.02,11994.69,12274.13
Cote d'Ivoire,152200.6,147447.84,29442.74,26282.74,32525.25,0.06,33027.48,33502.16
Croatia,34734.33,24621.25,27312.04,29863.54,31172.65,0.06,30453.51,30421.05
Cuba,57043.97,46584.98,46257.54,45763.45,49782.53,0.1,51170.75,52418.46
Cyprus,5130.36,6594.25,7952.75,8911.67,7563.8,0.01,7652.33,7431.19
Czech Republic,196206.78,150508.56,162021.19,147551.44,145706.92,0.29,144613.25,138957.42
Denmark,72484.04,79490.35,68553.55,64816.69,63679.09,0.13,58416.04,53703.22
Djibouti,1821.59,1914.42,1969.17,2160.04,2629.83,0.01,2701.62,2766.3
Dominica,130.67,140.32,140.87,174.6,211.31,0,217.38,222.84
Dominican Republic,17001.15,22043.96,28492.2,29247.79,31668.71,0.06,32578.16,33395.08
Ecuador,30859.49,38984.73,39805.12,47049.33,50320.7,0.1,51593.66,52746.57
Egypt,139101.65,155524.88,184459.74,243789.53,280255.58,0.55,288287.83,295499.75
El Salvador,6685.71,9244.05,10344.83,11528.25,11978.85,0.02,12293.61,12577.79
Equatorial Guinea,243.38,1991.99,4048.33,5675.89,6099.11,0.01,6243.1,6374.17
Eritrea,3335.24,3751.32,4981.26,4476.29,4844.79,0.01,4912.88,4977.89
Estonia,55787.32,31933.33,17768.81,20053.58,22767.13,0.04,24378.85,23292.78
Ethiopia,67300.58,69202.1,183617.67,200010.18,182771.2,0.36,184045.88,185292.17
EU 28,5636933.47,5292078.57,5103281.75,5163879.47,4834156.78,9.5,4705824.17,4680718.59
Falkland Islands (Malvinas),1195.27,1192.95,158.89,163.26,171.5,0,174.3,176.94
Faroe Islands,51.38,53.13,43.94,44.81,46.51,0,47.03,47.54
Fiji,2328.86,2182.2,1574.68,1836.07,2163.92,0,2213.24,2258.17
Finland,75555.06,77426.36,75117.48,76199.79,84371.54,0.17,76124.63,69072.94
France,554685.28,543013.14,559922.2,557130.13,532133.04,1.05,502656.66,499146.63
French Guiana,1168.92,1313.64,946.86,1160.77,1180.62,0,1217.57,1250.55
French Polynesia,1014.46,777.5,610.1,678.19,754.74,0,778.59,799.9
Gabon,12276.86,13230.37,32923.1,14185.92,34053.55,0.07,34324.76,34570.63
Gambia,1189.59,1244.17,2864.99,3001.6,3481.57,0.01,3505.92,3529.23
Georgia,38220.59,13616.27,11554.31,11190.17,13108.62,0.03,14665.8,14627.75
Germany,1256074.03,1131718.77,1016295.55,981287.68,948006.75,1.86,929540.26,951716.71
Ghana,29495.58,30510.82,107699.82,113159.71,106432.69,0.21,107126.22,107784.29
Gibraltar,159.45,302.6,356.18,397.69,443.48,0,459.12,473.01
Greece,96659.04,99302.95,115225.46,120036.21,107505.98,0.21,105013.93,100571.17
Greenland,201.38,216.28,230.23,243.68,257.57,0,260.21,262.84
Grenada,157.9,177.64,474.97,562.25,682.66,0,705.68,726.19
Guadeloupe,1571.48,1674.23,1933.95,2289.51,2527.06,0,2609.02,2682.16
Guam,60.18,67.2,69.55,76.08,83.62,0,84.77,85.87
Guatemala,14907.36,19535.94,70005.69,41739.12,30327.55,0.06,30950.25,31515.45
Guinea,65170.67,62537.28,84360.14,81922.61,100274.04,0.2,100814.39,101348.99
Guinea-Bissau,1628.81,1701.07,6791.44,5582.04,7536.36,0.01,7571.18,7604.73
Guyana,16735.46,16107.04,4405.23,4917.33,5937.29,0.01,6042.58,6140.69
Haiti,5356.99,5951.29,7179.1,8059.94,8545.17,0.02,8695.43,8835.47
Honduras,13722.12,16822.76,21929.62,23206.91,19663.72,0.04,20084.14,20467.16
Hong Kong,37253.71,40640.86,45292.88,46413.31,55049.4,0.11,56946.39,58633.52
Hungary,97552.24,77421.42,75482.06,75543.76,66250.77,0.13,64385,62988.4
Iceland,21761.02,20878.68,4122.34,3980.63,5390.98,0.01,5530.26,5514.85
India,1387371.82,1651503.01,1885189,2117460.59,2771456.76,5.44,2828845.83,3002894.93
Indonesia,1165113.41,1315570.67,622464.65,1171042.59,744790.02,1.46,763553.16,780550.76
International Aviation,299249.73,313606.43,361039.45,428751.87,490881.83,0.96,410969.17,415035.2
International Shipping,378468.39,427909.21,477490.1,532988.38,626066.43,1.23,648593.95,668589.03
International transport,677718.12,741515.64,838529.55,961740.26,1116948.26,2.19,1157164.86,1192859.39
"Iran, Islamic Republic of",283712.89,370387.94,448089.45,576650.65,529830.35,1.04,545075.01,551144.13
Iraq,99866.44,107285.1,124402.47,124611.7,146903.73,0.29,151457.06,155529.51
Ireland,65583.19,68374.02,68143.29,70080.71,65591.25,0.13,61268.1,62433.01
Israel,39609.33,53255.2,65619.39,71353.03,79072.44,0.16,81703.91,84044.43
Italy,508764.94,518470.76,547349.86,564114.95,489460.13,0.96,482619.04,482634
Jamaica,9319.22,10886.33,12364.43,13314.89,14581.68,0.03,15053.51,15474.32
Japan,1304676.03,1421640.91,1406194.59,1439905.16,1350427.91,2.65,1396767.26,1478858.88
Jordan,11599.32,15834.06,17799.02,22339.73,25590.05,0.05,26440.77,27198.59
Kazakhstan,372290.94,247266.95,207395.42,291641.05,347356.08,0.68,350475.73,366502.2
Kenya,38943.13,41798.48,46237.25,48661.63,52675.1,0.1,53513.99,54302.1
Kiribati,39.78,40.16,42.7,44.62,55.22,0,56.7,58.04
"Korea, Democratic People's Republic of",162999.45,111920.31,97813.67,106557.19,104116.6,0.2,107165.32,109894.96
"Korea, Republic of",300501.33,453629.67,512819.94,561372.54,628838.72,1.24,650085.53,668989.65
Kuwait,34951.69,57167.73,65239.57,91416.66,93785.57,0.18,96788.19,99467.12
Kyrgyzstan,33283.19,10488.68,9973.96,10852.47,13008.54,0.03,13853.67,13794.74
Lao People's Democratic Republic,30128.6,31879.68,24667.95,53444.81,38034.96,0.07,161456.98,161718.74
Latvia,33667.77,18783,11507.81,13288.2,14670,0.03,14150.1,13943.92
Lebanon,7963.19,15558.42,16825.66,19431.45,19139.27,0.04,19791.5,20371.97
Lesotho,1882.43,1938.44,3230.58,3703.9,3425.28,0.01,3449.41,3472.71
Liberia,1752.53,1428.1,2076.32,2082.7,2758.55,0.01,2797.37,2833.94
Libyan Arab Jamahiriya,61074.15,65215.47,63666.89,69931.74,77780.09,0.15,80072.82,82129.13
Lithuania,54344.53,29219.71,21257.13,23569.41,26786.48,0.05,29324.69,29442.21
Luxembourg,13101.98,10728.91,10268.36,13445.82,13034.82,0.03,12929.54,12611
Macao,1016.22,1186.79,1287.2,1354.58,1573.86,0,1626.74,1673.84
"Macedonia, the former Yugoslav Republic of",14328.51,11579.55,11607.05,11591.6,12257.54,0.02,12645.71,12992.25
Madagascar,48353.25,46520.6,84187.24,159818.56,117231.04,0.23,117586.22,117932.6
Malawi,8537.09,8132.45,15450.39,20503.21,21415.54,0.04,21525.76,21632.13
Malaysia,198587.56,252184.59,171393.52,246665.16,263676.11,0.52,271818.84,279098.38
