Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,Forest area (% of land area),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Afghanistan,CO2 emissions,2043.727302,1990.004229,1715.416163,1715.733404,1963.566416,2278.528618,2288.203255,2160.428102,2114.899473,2166.747684,2421.262459,2368.502069,2398.262152,2593.709913,2867.627741,3042.228292,3244.725311,2902.262831,3957.985996,5055.331781,6316.257117,6952.13455,7481.75325,8021.494333
Afghanistan,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Albania,Forest area (% of land area),29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,29,29,28,28,28,28,28,28,28
Albania,CO2 emissions,6556.425371,4349.976678,2324.507827,2180.338455,2308.178289,2044.154176,2033.582047,1563.68494,1796.202711,3031.341777,3134.353603,3351.406917,3899.43216,4195.425944,4378.421366,4137.171872,4098.241888,4208.999922,4166.853127,3750.866009,4075.110496,4328.37805,4209.023183,4400.607474
Albania,Electric power consumption (kWh per capita),522.4336096,398.2502701,442.2490768,521.8005092,584.872625,645.2758405,886.6700568,680.688922,721.7447172,1404.41035,1436.698352,1338.813198,1561.122382,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1837.392003,1947.462789,2195.00272,2118.440257,2531.888539
Algeria,Forest area (% of land area),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,CO2 emissions,66529.17945,71308.10409,77842.12111,78315.61335,75659.7098,78012.84208,76747.11931,75486.33365,75934.97911,79050.54011,81762.32746,80658.49078,84495.70489,90992.65627,90460.31116,96287.84404,101398.9941,104250.9049,108779.0198,112546.708,114749.8701,120270.6123,128343.1526,131435.0275
Algeria,Electric power consumption (kWh per capita),528.4349973,529.4062422,556.6404464,545.0231244,548.0922283,557.0797425,567.696566,572.9109386,615.5544011,649.7640896,680.1960181,705.9757546,727.7186112,783.2409103,801.0427451,887.4624349,859.6615613,891.8050862,945.1019574,864.6455448,1014.980537,1121.628999,1236.130029,1277.374628
Angola,Forest area (% of land area),49,49,49,49,49,48,48,48,48,48,48,48,48,48,48,47,47,47,47,47,47,47,47,47
Angola,CO2 emissions,10402.43027,10899.62426,11191.07133,11239.14078,10669.14211,11929.90795,14364.40906,15022.35403,15511.84739,16509.49791,15160.18076,14935.81532,14769.98482,16206.34304,16299.17958,14835.28243,15758.68216,16375.91458,18636.87241,20483.40957,23221.07323,23211.80738,22184.00884,22011.6373
Angola,Electric power consumption (kWh per capita),56.61460819,58.14068529,57.1357631,55.52477197,54.07763129,52.67328014,54.8238549,74.70003336,79.36446403,78.1400718,81.9463221,89.95815725,93.54614761,104.0655979,94.93798965,118.5734873,157.2691093,145.2258917,188.4866793,207.6500298,227.2389469,228.5084478,219.5222068,226.8404204
Antigua and Barbuda,Forest area (% of land area),23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22
Antigua and Barbuda,CO2 emissions,243.7184098,246.3981459,245.2054664,231.0365478,248.2691595,257.9260349,262.137164,255.0430303,251.0460289,255.9694188,277.8966891,292.7954863,284.3708504,296.5100338,309.8109025,304.5539747,303.0339938,320.6568294,321.8051232,330.2180718,351.6252948,370.8390718,372.2624812,383.6917768
Antigua and Barbuda,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Argentina,Forest area (% of land area),13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10
Argentina,CO2 emissions,109017.8813,112442.285,116566.7571,116090.748,123688.413,123773.2841,136094.5978,140034.2696,143828.0414,147147.1498,144506.3268,134820.8896,127379.2717,137629.7789,154289.5555,158856.9068,169467.5107,176467.2009,189628.3954,181169.7855,187466.3597,192017.9866,191556.9442,188067.8145
Argentina,Electric power consumption (kWh per capita),1299.552028,1342.926656,1405.104461,1490.725314,1560.530763,1641.042968,1719.665306,1838.897817,1957.585842,2023.736376,2078.286384,2109.49458,2003.434044,2167.714384,2279.286994,2392.893731,2357.96126,2438.009419,2752.126821,2708.987292,2847.326879,2901.361487,2954.539451,3093.353228
Armenia,Forest area (% of land area),12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Armenia,CO2 emissions,20571.99611,21433.52867,10880.24651,5058.606377,2765.510386,3502.104857,2561.279753,3318.521346,3450.159707,3087.231497,3550.90167,3617.193379,3087.010295,3460.059389,3726.044561,4433.069525,4471.73954,5184.561035,5687.449705,4548.963855,4124.159805,4715.205825,4713.837011,4551.719214
Armenia,Electric power consumption (kWh per capita),2717.58219,2684.577518,1958.836317,1192.697333,1043.483124,1048.345838,1217.927003,1506.859269,1306.795659,1305.505815,1294.822207,1265.344591,1230.946339,1312.400788,1428.296665,1504.51903,1615.836059,1740.22637,1631.580734,1617.60799,1676.060977,1751.35715,1832.229306,1870.200843
Aruba,Forest area (% of land area),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Aruba,CO2 emissions,417.9671984,434.6654749,461.69882,505.8221978,510.2991202,496.1902381,61.2566083,71.91635249,114.8755566,129.2124241,218.7262838,225.3974971,219.6623447,222.798292,208.6723167,199.903873,198.6264931,228.5104798,215.7152287,233.1981924,278.4075006,241.9325068,243.5778591,251.0431949
Aruba,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Australia,Forest area (% of land area),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16
Australia,CO2 emissions,278332.046,280901.2252,284092.0124,288147.5604,293012.2969,303094.3686,312458.3968,323487.103,343129.4334,352442.2448,358170.2281,370529.9257,381371.4001,389702.3981,405483.7747,410703.9338,407286.4903,427486.9519,430374.324,435530.345,420676.5696,428610.3243,428228.5598,429078.5649
Australia,Electric power consumption (kWh per capita),8527.228085,8522.159222,8550.328665,8701.760344,8812.489499,8994.35591,9108.29556,9291.083869,9783.442895,10036.45778,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10746.85397,10742.46832,10445.14902,10133.85918
Austria,Forest area (% of land area),46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47
Austria,CO2 emissions,62092.06583,65821.15419,60741.32685,60776.27152,61358.01942,64323.93266,68293.14137,68063.0994,68765.6313,66621.29073,67058.46084,71753.60649,73548.50756,78802.08099,79976.39131,81125.48118,78631.78705,76433.96541,77139.93825,69551.28915,75992.19505,75495.12101,74638.44003,74539.60478
Austria,Electric power consumption (kWh per capita),6111.47652,6347.220096,6227.498049,6137.269463,6205.804904,6344.393087,6607.222977,6620.447862,6706.708677,6972.189816,7076.269483,7333.231953,7427.656445,7695.080037,7808.035423,7978.046214,8223.842346,8185.535099,8206.69745,7944.796096,8382.352449,8425.167753,8549.000823,8513.009508
Azerbaijan,Forest area (% of land area),10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13
Azerbaijan,CO2 emissions,53171.30907,51944.14578,41788.30871,36698.99681,32743.72468,31911.41938,26742.6719,25410.40259,25393.42343,26279.0295,27851.77844,26498.82968,26272.52414,28750.9557,28475.36458,30258.45321,30683.13315,27879.92577,30712.56101,25698.90279,24534.1234,27785.16578,29291.31376,30320.33699
Azerbaijan,Electric power consumption (kWh per capita),2575.639056,2631.137395,2276.076944,2119.679787,1961.827037,1951.984385,1852.891923,1813.670143,1936.939214,2022.485985,2040.47909,2106.470066,1996.708252,2235.459856,2281.947872,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374,1705.424633,2052.650965,2092.536521
Bahamas,Forest area (% of land area),51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
Bahamas,CO2 emissions,2575.60568,2507.342149,2197.402205,2091.853568,2266.875836,2596.45245,2923.997544,2820.726298,2693.172401,2528.87139,2359.496508,2464.233918,2474.948994,2792.36021,2825.00256,2769.564086,2856.505688,3060.536168,3141.006148,3179.644255,3439.527521,3729.605472,3736.115699,3850.947364
Bahamas,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bahrain,Forest area (% of land area),0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,CO2 emissions,12788.92616,12500.02982,13035.95069,12981.64289,13045.90319,13155.82631,13714.45626,14498.05666,15386.0578,15504.04686,15725.93391,16451.92855,17291.11117,17797.25391,14996.58629,16352.72681,16165.73797,18890.28142,18238.74125,18686.19325,19075.41973,19686.01326,19742.9406,21433.07041
Bahrain,Electric power consumption (kWh per capita),15620.71524,14217.48873,18509.87474,21665.43462,20493.45262,20552.3921,20555.13878,21002.48564,21101.71603,20497.60963,19947.36487,20207.42762,20286.3386,20219.40795,19496.55255,21870.46576,21910.95314,20779.91911,18472.32915,17288.97854,17745.70906,17530.43995,17399.07032,18216.62083
Bangladesh,Forest area (% of land area),11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Bangladesh,CO2 emissions,13669.69729,12945.25101,14399.99579,15220.55496,16507.87129,20200.80736,20568.17653,22311.49804,22749.0812,24301.17795,26323.32566,31025.88559,32733.96148,34247.0386,35284.88832,38609.42531,40981.53154,44675.72911,50638.88708,55070.02664,60355.86618,60559.34063,61731.81762,64445.32124
Bangladesh,Electric power consumption (kWh per capita),48.46053999,49.06474749,58.77240599,65.35477922,69.12900985,76.08013013,79.67790027,81.43291701,86.35995888,94.48040488,101.7209387,111.9707035,119.6005627,125.8367829,160.7809662,171.2796725,191.6124414,200.576172,202.0000031,220.044802,240.6725741,258.4846766,275.7034678,293.0247113
Barbados,Forest area (% of land area),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Barbados,CO2 emissions,962.030835,1012.959754,1009.839753,908.6624763,883.853082,906.549913,920.1120994,998.3228797,1083.3127,1111.763614,1205.570986,1191.413164,1186.277259,1204.429106,1210.058123,1198.590078,1179.601171,1222.462135,1206.36028,1212.931849,1267.14478,1342.610485,1327.661609,1356.088089
Barbados,Electric power consumption (kWh per capita),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Belarus,Forest area (% of land area),38,39,39,39,39,40,40,40,40,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42
